course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg
"Vidanta Vallarta",71,7325,494,181,-1.28,0.02,0.03,-0.41,298.9,17.4,0.6459,0.005,0.055,0.018,0.028
"Detroit Golf Club",72,7320,470,183,-1.94,0.01,-0.04,-0.38,297,20,0.6581,-0.004,0.01,0.028,0.046
"Golf Club of Houston",72,7319,468,192,-0.51,0.05,0.04,-0.27,280.5,16.6,0.6321,0.01,0.039,0.015,-0.049
"TPC San Antonio (Oaks Course)",72,7313,469,188,0.37,0.06,0.09,-0.2,290,19,0.5619,-0.002,-0.003,-0.028,-0.02
"Whistling Straits",72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.5997,0.009,-0.074,-0.028,0.006
"Muirfield Village Golf Club (Workday)",72,7311,470,187,0.07,0.16,0.05,-0.27,292.2,19.4,0.5903,0.003,-0.052,-0.018,-0.007
"Albany GC",72,7309,490,187,-1.06,0.02,0.04,-0.3,302.4,17.7,0.6638,0.024,-0.065,0,0.032
"TPC Louisiana",72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.69,0.009,0.015,0.054,0.002
"Eagle Point Golf Club",72,7291,470,176,0.7,0.11,0.07,-0.11,284.8,16.6,0.6022,-0.002,0.002,-0.053,-0.013
"Ridgewood CC",71,7290,467,190,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.008,-0.023,0.026,-0.03
"Club de Golf Chapultepec",71,7287,464,197,0.43,0.18,0.05,-0.27,299.7,27.5,0.5711,-0.024,0.006,0.006,0.061
"Olympia Fields Country Club (North Course)",70,7283,464,196,1.54,0.11,0.12,-0.16,293.6,20.9,0.5079,-0.004,-0.007,-0.004,-0.031
"Baltusrol GC",70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.5881,-0.005,0.018,0.048,-0.022
"East Lake Golf Club",70,7280,461,205,0.57,0.13,0.08,-0.46,290.9,16.3,0.54,0.012,0.004,0.017,-0.002
"TPC Scottsdale (Stadium Course)",71,7274,467,183,-0.3,0.05,0.05,-0.35,299.2,17.8,0.5616,0.006,-0.006,-0.001,0.016
"Royal Liverpool",71,7273,467,182,1.87,0.12,0.18,-0.21,275.7,22.1,0.522,0.014,-0.037,-0.037,-0.111
"Robert Trent Jones GC",71,7265,465,187,-0.82,0.01,0,-0.29,285.6,17.6,0.6464,-0.004,-0.026,0.046,0.033
"TPC Craig Ranch (Par 71)",71,7257,463,195,-2.57,-0.01,-0.08,-0.54,296.6,16.5,0.6157,0.017,0.054,0.05,0.039
"TPC Craig Ranch",72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.7,16.4,0.6408,0.009,0.047,0.046,0.032
"Bellerive CC",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6484,0.004,0.004,0.033,0.003
"St. Andrews Links (Old Course)",72,7247,430,184,-0.29,0.16,0,-0.33,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07
"Glen Oaks Club",70,7246,460,201,1.61,0.14,0.13,-0.23,285.9,19.2,0.6488,-0.013,-0.019,-0.001,0.021
"The Riviera Country Club",71,7245,463,191,0.59,0.09,0.13,-0.42,286.6,19.7,0.5166,-0.017,0.009,0.007,-0.029
"Oakdale Golf &amp; Country Club",72,7231,445,188,-0.76,-0.02,0.03,-0.37,282.4,19.2,0.5556,0.004,-0.009,0.001,-0.035
"TPC Twin Cities",71,7213,462,191,-1.13,0,-0.01,-0.34,292.5,16.7,0.6392,0.013,0.011,0.022,0.009
"The Country Club of Jackson",72,7209,462,186,-1.44,0.01,-0.03,-0.3,287.5,17.9,0.5465,0.001,0.018,0.013,0
"Liberty National Golf Club",71,7201,460,190,-0.3,0.05,0.07,-0.43,286.4,17.2,0.6609,0.008,0.019,0.015,-0.023
"Glen Abbey GC",72,7197,466,168,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5168,0.007,0.006,-0.047,0.032
"TPC Harding Park",70,7180,457,197,1.03,0.12,0.11,-0.38,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009
"Pete Dye Stadium Course",72,7149,457,187,-1.59,0.09,-0.06,-0.34,281.8,16.7,0.5965,0.01,0.041,0.006,-0.02
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6299,0.001,-0.013,-0.005,0.012
"Keene Trace Golf Club (Champions Course)",72,7143,456,188,-3.14,-0.03,-0.07,-0.58,293.9,18.1,0.6231,0.001,0.02,0.038,0.034
"TPC Sawgrass (THE PLAYERS Stadium Course)",72,7121,459,178,0.77,0.15,0.13,-0.3,280.8,18.5,0.6004,-0.006,-0.033,-0.046,-0.044
"Trinity Forest Golf Club",71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059
"TPC Deere Run",71,7119,455,186,-1.76,-0.04,-0.04,-0.37,290.2,18.3,0.6962,0.011,-0.007,0.026,0.046
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6592,0.005,0.008,0.044,0.029
"RTJ Trail (Grand National)",71,7095,453,190,-2.13,0.01,-0.06,-0.51,282.9,17,0.6688,-0.006,0.03,0.058,0.037
"Silverado Resort and Spa (North Course)",72,7092,452,190,-0.98,0.09,0,-0.33,286.8,21.2,0.5135,-0.003,-0.012,-0.004,-0.01
"TPC Southwind",70,7088,456,175,0.17,0.04,0.07,-0.4,289.7,17.5,0.5629,0.007,0.003,-0.009,-0.003
"Innisbrook Resort (Copperhead Course)",71,7082,469,199,0.71,0.12,0.11,-0.23,276.9,17.2,0.571,-0.004,0.02,-0.024,-0.061
"The Renaissance Club",70,7077,477,177,0.83,0.11,0.11,-0.27,294.2,20.5,0.5131,-0.016,0.079,-0.028,-0.02
"TPC Summerlin",71,7073,451,190,-1.48,0.05,-0.03,-0.45,299.2,19.6,0.6103,0.006,-0.05,0.014,0.052
"Memorial Park Golf Course",70,7070,477,177,0.85,0.07,0.1,-0.17,289.9,16.8,0.5644,0,-0.045,-0.011,0.009
"TPC Potomac at Avenel Farm",70,7069,451,190,0.93,0.07,0.08,-0.13,280.7,18.1,0.5972,0.003,-0.014,0,-0.038
"PGA National Resort (The Champion - Par 71)",71,7066,451,185,-0.82,0.16,0.01,-0.53,279.6,16,0.6534,0.006,0.029,-0.018,-0.023
"Aronimink GC",70,7036,446,199,-1.14,0.04,-0.03,-0.46,286.3,16.5,0.6825,0.01,-0.014,0.042,0.035
"Waialae Country Club",70,7023,449,185,-1.23,0.03,0,-0.66,291,21.1,0.5655,0.003,0.036,0.035,0.012
"PGA National Resort (The Champion)",70,7020,448,187,1.41,0.19,0.11,-0.35,277.1,16.3,0.6025,0.004,0.019,-0.054,-0.041
"St. George's G&amp;CC",70,7006,464,196,0.3,0.04,0.11,-0.34,293.2,18.9,0.6188,-0.007,-0.019,-0.011,0.019
"Pebble Beach Golf Links (U.S. Open)",71,7003,450,176,1.61,0.11,0.15,-0.16,270.2,17.9,0.6493,-0.001,-0.048,-0.047,-0.048
"Colonial Country Club",70,6995,445,194,0.59,0.09,0.06,-0.23,280.1,19.4,0.5523,0.004,0.022,-0.011,-0.044
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.5999,0.005,0.005,0.011,0.012
"Sherwood Country Club",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034
"TPC Four Seasons Resort",70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.5711,0,-0.006,0.016,-0.014
"Harbour Town Golf Links",71,6960,445,183,-0.07,0.12,0.04,-0.33,275.1,19.4,0.614,-0.003,0.044,-0.028,-0.056
"Sedgefield Country Club",70,6958,442,193,-1.21,-0.02,0,-0.57,286,18.4,0.6156,-0.007,-0.037,0.071,0.022
"Austin Country Club",71,6899,449,179,-2.09,0,-0.07,-0.52,300.8,21.4,0.5859,0.005,0.016,0.012,0.035
"Pebble Beach Golf Links",72,6888,443,171,-0.61,0.05,0.03,-0.28,272.2,17.8,0.694,-0.017,0.027,-0.04,-0.025
"Sea Island Golf Club (Seaside)",70,6878,435,195,-1.2,0,-0.03,-0.42,280.6,15.7,0.7091,0.006,0.025,0.026,-0.003
"PGA West (Palmer)",72,6844,460,173,-1.98,0.03,0.05,-0.51,277.8,15,0.6311,-0.001,0.045,-0.021,-0.012
"Hamilton Golf &amp; Country Club",70,6832,430,202,-0.62,0.09,0,-0.47,285.3,17.5,0.5569,-0.006,0,0.008,0.004
"Plainfield CC",70,6829,438,175,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,-0.013,-0.036,-0.014,-0.015
"TPC River Highlands",70,6800,432,188,-0.48,0.02,0,-0.28,284.4,19,0.6481,0.002,-0.054,0.012,-0.004
